Time	X	Y	Arm
66.8	-5.2415	1.13253	1
66.9	-5.41224	1.0262	1
67	-5.36091	1.05844	1
67.1	-5.33741	1.09604	1
67.2	-5.31487	1.11868	1
67.3	-5.09355	1.13759	1
67.4	-5.01948	1.11502	1
67.5	-5.17937	1.08649	1
67.6	-5.59047	0.90744	1
67.7	-5.77261	1.58053	1
67.8	-5.81056	1.89484	1
67.9	-5.4345	2.05856	1
68	-5.18109	1.99116	1
68.1	-5.5104	1.98479	1
68.2	-5.85253	1.92011	1
68.3	-6.44924	2.01354	1
68.4	-6.96028	2.01389	1
68.5	-8.44632	1.95803	1
68.6	-9.18916	1.86756	1
68.7	-10.0177	2.07684	1
68.8	-10.2464	2.10611	1
68.9	-10.559	2.16748	1
69	-10.8538	2.12462	1
69.1	-11.0963	2.05089	1
69.2	-11.1908	2.032	1
69.3	-11.3538	2.00272	1
69.4	-11.6451	2.10261	1
69.5	-10.9028	2.2187	1
69.6	-10.5081	2.2142	1
69.7	-10.4484	2.33529	1
69.8	-10.9576	2.47695	1
69.9	-10.8957	2.16765	1
70	-11.0147	2.18948	1
70.1	-13.1556	2.32122	1
70.2	-14.316	2.32898	1
70.3	-16.0373	2.40892	1
70.4	-16.2936	2.53469	1
70.5	-16.8138	2.71518	1
70.6	-17.8117	2.71151	1
70.7	-20.2749	2.69404	1
70.8	-21.3861	2.96261	1
70.9	-24.7541	2.6167	1
71	-25.1671	2.39653	1
71.1	-25.9087	2.08087	1
71.2	-26.2887	2.2059	1
71.3	-26.0567	2.28514	1
71.4	-26.7304	2.35186	1
71.5	-28.0819	2.39447	1
71.6	-28.3322	2.42681	1
71.7	-29.2271	2.38672	1
71.8	-30.0959	2.37806	1
71.9	-30.4798	1.73326	1
72	-31.8114	1.43693	1
72.1	-33.7594	1.06566	1
72.2	-34.3614	0.883822	1
72.3	-35.1151	0.709937	1
72.4	-35.2673	0.681247	1
72.5	-35.5183	0.669582	1
72.6	-35.7247	0.661491	1
72.7	-35.8598	0.630925	1
72.8	-35.8298	0.619265	1
72.9	-35.8553	0.62891	1
73	-35.6286	0.690585	1
73.1	-35.1748	0.717302	1
73.2	-34.0708	0.845659	1
73.3	-33.4105	0.909489	1
73.4	-33.0888	0.938922	1
73.5	-32.9917	0.960593	1
73.6	-33.3901	0.871923	1
73.7	-33.4238	0.818043	1
73.8	-33.3675	0.830975	1
73.9	-32.8911	0.920933	1
74	-32.3391	1.01211	1
74.1	-32.2895	0.978924	1
74.2	-32.9055	0.863393	1
74.3	-33.1557	0.821943	1
74.4	-34.0023	0.604373	1
74.5	-34.672	0.447617	1
74.6	-34.4179	0.478986	1
74.7	-34.2282	0.440158	1
74.8	-34.0775	0.445114	1
74.9	-32.8429	0.790039	1
75	-31.4377	1.19766	1
75.1	-30.1953	2.17207	1
75.2	-28.5992	2.26191	1
75.3	-27.6851	2.1385	1
75.4	-27.8713	1.65622	1
75.5	-28.4145	1.83041	1
75.6	-28.4322	1.97737	1
75.7	-28.0748	1.88307	1
75.8	-27.7811	1.54447	1
75.9	-26.6498	0.770494	1
76	-26.3314	0.47001	1
76.1	-26.2153	0.253436	1
76.2	-26.3246	-0.076945	1
