Index	RecordTime	VideoTime	MI
617	61.7	199.4	7.28167
618	61.8	199.5	6.66117
619	61.9	199.6	7.4615
620	62	199.7	7.68183
621	62.1	199.8	6.77227
622	62.2	199.9	7.13397
623	62.3	200	6.91036
624	62.4	200.1	8.43146
625	62.5	200.2	7.19345
626	62.6	200.3	7.45716
627	62.7	200.4	7.71466
628	62.8	200.5	7.03302
629	62.9	200.6	7.66602
630	63	200.7	8.07878
631	63.1	200.8	6.7388
632	63.2	200.9	6.81636
633	63.3	201	5.88311
634	63.4	201.1	7.5919
635	63.5	201.2	6.95953
636	63.6	201.3	6.25928
637	63.7	201.4	7.54668
638	63.8	201.5	6.79813
639	63.9	201.6	8.32551
640	64	201.7	9.60878
641	64.1	201.8	7.33112
642	64.2	201.9	6.63868
643	64.3	202	8.09083
644	64.4	202.1	7.77716
645	64.5	202.2	7.37982
646	64.6	202.3	6.80962
647	64.7	202.4	7.43141
648	64.8	202.5	7.14099
649	64.9	202.6	6.16939
650	65	202.7	6.59416
651	65.1	202.8	6.065
652	65.2	202.9	6.96539
653	65.3	203	6.38327
654	65.4	203.1	6.04355
655	65.5	203.2	7.39796
656	65.6	203.3	8.51453
657	65.7	203.4	6.70163
658	65.8	203.5	7.93704
659	65.9	203.6	7.61581
660	66	203.7	8.58369
661	66.1	203.8	6.56459
662	66.2	203.9	6.8623
663	66.3	204	8.25512
664	66.4	204.1	7.80554
665	66.5	204.2	6.86173
666	66.6	204.3	7.01463
667	66.7	204.4	8.3513
668	66.8	204.5	7.95575
669	66.9	204.6	6.97424
670	67	204.7	8.22456
671	67.1	204.8	6.99132
672	67.2	204.9	6.281
673	67.3	205	6.88585
674	67.4	205.1	5.46034
675	67.5	205.2	6.41544
676	67.6	205.3	4.8896
677	67.7	205.4	5.63874
678	67.8	205.5	6.24817
679	67.9	205.6	5.18459
680	68	205.7	5.48691
681	68.1	205.8	4.34063
682	68.2	205.9	5.20094
683	68.3	206	4.6676
684	68.4	206.1	4.26136
685	68.5	206.2	5.09033
686	68.6	206.3	4.35726
687	68.7	206.4	5.21303
688	68.8	206.5	4.27538
689	68.9	206.6	4.56781
690	69	206.7	4.24058
691	69.1	206.8	4.15456
692	69.2	206.9	4.53288
693	69.3	207	3.86647
694	69.4	207.1	4.70483
695	69.5	207.2	4.23787
696	69.6	207.3	4.27314
697	69.7	207.4	4.94544
698	69.8	207.5	4.34839
699	69.9	207.6	4.89726
700	70	207.7	3.98343
701	70.1	207.8	5.10196
702	70.2	207.9	4.65728
703	70.3	208	5.74259
704	70.4	208.1	6.5067
705	70.5	208.2	5.14136
706	70.6	208.3	5.0398
707	70.7	208.4	6.26524
708	70.8	208.5	6.72738
709	70.9	208.6	5.55046
710	71	208.7	6.78795
711	71.1	208.8	7.74665
712	71.2	208.9	9.12353
713	71.3	209	7.85831
714	71.4	209.1	9.55885
715	71.5	209.2	9.11675
716	71.6	209.3	8.7572
717	71.7	209.4	8.51687
718	71.8	209.5	7.08529
719	71.9	209.6	9.04929
720	72	209.7	9.35273
721	72.1	209.8	7.28549
722	72.2	209.9	9.39024
723	72.3	210	8.33435
724	72.4	210.1	9.97028
725	72.5	210.2	8.27501
726	72.6	210.3	8.72838
727	72.7	210.4	10.7189
728	72.8	210.5	9.5421
729	72.9	210.6	7.43035
730	73	210.7	9.01443
731	73.1	210.8	7.69274
732	73.2	210.9	7.90703
733	73.3	211	6.98024
734	73.4	211.1	8.16176
735	73.5	211.2	6.85411
736	73.6	211.3	6.49218
737	73.7	211.4	7.81042
738	73.8	211.5	7.38115
739	73.9	211.6	6.59426
740	74	211.7	7.74292
741	74.1	211.8	6.14667
742	74.2	211.9	5.95835
743	74.3	212	7.72719
744	74.4	212.1	6.74458
745	74.5	212.2	5.9444
746	74.6	212.3	5.98661
747	74.7	212.4	6.97032
748	74.8	212.5	7.5254
749	74.9	212.6	5.79355
750	75	212.7	6.8437
751	75.1	212.8	6.5983
752	75.2	212.9	7.3982
753	75.3	213	5.94223
754	75.4	213.1	6.20798
755	75.5	213.2	7.12938
756	75.6	213.3	6.20553
757	75.7	213.4	8.78634
758	75.8	213.5	8.86036
759	75.9	213.6	6.58519
760	76	213.7	7.41123
761	76.1	213.8	6.01951
762	76.2	213.9	7.10438
763	76.3	214	5.96012
764	76.4	214.1	6.81795
765	76.5	214.2	5.97973
766	76.6	214.3	8.1376
767	76.7	214.4	6.045
768	76.8	214.5	5.14171
769	76.9	214.6	6.94578
770	77	214.7	5.95974
771	77.1	214.8	5.0198
772	77.2	214.9	6.26516
773	77.3	215	5.18541
774	77.4	215.1	5.09228
775	77.5	215.2	6.63783
776	77.6	215.3	5.79591
777	77.7	215.4	4.37759
778	77.8	215.5	6.35766
779	77.9	215.6	5.91281
780	78	215.7	5.2131
781	78.1	215.8	5.29471
782	78.2	215.9	5.61249
783	78.3	216	4.774
784	78.4	216.1	5.40861
785	78.5	216.2	4.30224
786	78.6	216.3	4.31254
787	78.7	216.4	4.79004
788	78.8	216.5	4.94439
789	78.9	216.6	3.87658
790	79	216.7	3.656
791	79.1	216.8	4.2804
792	79.2	216.9	4.90803
793	79.3	217	5.13571
794	79.4	217.1	3.86892
795	79.5	217.2	5.36348
796	79.6	217.3	4.18649
797	79.7	217.4	4.15206
798	79.8	217.5	4.31694
799	79.9	217.6	5.46462
800	80	217.7	4.81911
801	80.1	217.8	6.29237
802	80.2	217.9	4.58177
803	80.3	218	5.24334
804	80.4	218.1	4.43724
805	80.5	218.2	5.22016
806	80.6	218.3	5.00317
807	80.7	218.4	6.18029
808	80.8	218.5	4.45503
809	80.9	218.6	4.61086
810	81	218.7	5.07316
811	81.1	218.8	5.34045
812	81.2	218.9	4.57768
813	81.3	219	5.13439
814	81.4	219.1	5.38182
815	81.5	219.2	5.52296
816	81.6	219.3	5.29737
817	81.7	219.4	5.87388
818	81.8	219.5	6.34132
819	81.9	219.6	7.0387
820	82	219.7	5.77595
821	82.1	219.8	7.33427
822	82.2	219.9	5.8275
823	82.3	220	6.50849
