Time	X	Y
86.9	1.92857	27.0811
87	1.92857	27.0811
87.1	1.84821	26.5135
87.2	1.92857	26.4324
87.3	1.92857	26.3514
87.4	1.92857	26.3514
87.5	1.92857	26.3514
87.6	1.92857	26.2703
87.7	2.00893	26.2703
87.8	1.92857	25.8649
87.9	2.00893	25.7027
88	1.92857	25.6216
88.1	1.76786	25.2162
88.2	1.76786	25.2162
88.3	1.60714	24.1622
88.4	1.60714	24.1622
88.5	1.76786	23.6757
88.6	1.76786	23.5946
88.7	1.76786	23.5946
88.8	1.76786	23.4324
88.9	1.76786	23.4324
89	1.6875	22.8649
89.1	1.6875	22.6216
89.2	1.60714	22.1351
89.3	1.36607	21.5676
89.4	1.36607	20.6757
89.5	1.44643	20.1892
89.6	1.44643	20.1892
89.7	1.60714	19.6216
89.8	1.6875	19.6216
89.9	1.6875	19.7027
90	1.6875	19.7838
90.1	1.6875	19.7838
90.2	1.6875	19.7838
90.3	1.60714	19.5405
90.4	1.60714	19.2973
90.5	1.6875	19.3784
90.6	1.6875	19.3784
90.7	1.76786	19.7838
90.8	1.84821	19.9459
90.9	1.92857	20.1081
91	1.84821	19.8649
91.1	1.84821	20.027
91.2	1.84821	20.027
91.3	1.84821	20.3514
91.4	1.92857	20.5946
91.5	1.92857	20.6757
91.6	2.00893	20.8378
91.7	2.00893	20.8378
91.8	2.16964	21.0811
91.9	2.16964	21.0811
92	2.16964	21.2432
92.1	2.25	21.4865
92.2	2.33036	21.8108
92.3	2.41071	21.8919
92.4	2.49107	22.0541
92.5	2.49107	22.2973
92.6	2.49107	22.2973
92.7	2.41071	23.2703
92.8	2.33036	23.7568
92.9	1.84821	24.8919
93	1.36607	25.9459
93.1	1.28571	27.4054
93.2	1.28571	27.4054
93.3	1.36607	28.0541
93.4	1.52679	29.3514
93.5	1.28571	30.4865
93.6	1.44643	31.2162
93.7	1.60714	31.2973
93.8	1.6875	31.2973
93.9	1.6875	31.2162
94	1.6875	31.2162
94.1	1.6875	31.2162
94.2	1.6875	31.2973
